Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,target
A11,12,A32,A40,1274,A61,A72,3,A92,A101,1,A121,37,A143,A152,1,A172,1,A191,A201,1
A12,24,A30,A41,2345,A62,A73,2,A93,A103,2,A122,45,A141,A151,2,A173,2,A192,A202,2
A14,6,A33,A43,567,A64,A74,4,A91,A101,3,A123,22,A143,A152,1,A174,1,A192,A202,1
A13,18,A31,A42,1500,A63,A75,3,A94,A102,4,A121,38,A142,A153,3,A172,2,A191,A202,1
A12,30,A34,A44,789,A61,A71,2,A95,A101,1,A124,27,A143,A151,2,A171,1,A191,A201,2
A11,36,A32,A45,2100,A62,A73,4,A92,A103,2,A122,50,A141,A152,1,A173,2,A192,A202,1
A14,12,A30,A46,340,A65,A72,1,A93,A101,3,A123,19,A142,A153,1,A172,1,A191,A202,2
A13,48,A33,A47,900,A64,A75,2,A94,A102,2,A121,41,A143,A152,2,A174,2,A192,A201,1
A11,15,A31,A40,1234,A61,A71,3,A91,A101,1,A122,35,A142,A151,3,A172,1,A191,A201,2
A12,60,A32,A42,4567,A63,A74,4,A95,A103,4,A124,52,A143,A152,1,A173,1,A192,A202,1
A14,9,A34,A43,1000,A62,A71,2,A92,A101,2,A123,29,A141,A151,2,A172,2,A191,A202,2
A13,24,A30,A44,750,A65,A73,3,A94,A102,1,A121,31,A142,A153,1,A174,1,A192,A202,1
A11,36,A31,A45,3000,A61,A75,2,A93,A101,3,A122,42,A143,A152,2,A172,1,A191,A201,2
A12,6,A32,A46,134,A63,A72,1,A91,A103,2,A123,23,A141,A151,3,A171,2,A192,A202,1
A14,18,A33,A40,2345,A64,A74,4,A95,A101,1,A124,37,A143,A152,1,A173,1,A191,A202,2
A13,12,A30,A41,3456,A65,A73,2,A92,A102,3,A121,44,A142,A153,2,A174,2,A192,A201,1
A11,48,A31,A42,890,A61,A71,3,A93,A101,1,A122,26,A141,A151,1,A172,2,A191,A201,2
A12,30,A34,A43,1400,A62,A75,2,A94,A102,4,A123,39,A143,A152,3,A173,1,A192,A202,1
A14,15,A32,A44,289,A64,A72,1,A91,A101,2,A124,20,A142,A151,2,A172,1,A191,A201,2
A13,24,A33,A45,5678,A63,A73,4,A95,A103,1,A121,46,A141,A153,1,A174,2,A192,A202,1
A11,36,A30,A46,654,A61,A71,3,A92,A101,2,A122,34,A143,A152,2,A172,1,A191,A202,2
A12,9,A31,A40,1230,A65,A74,2,A94,A103,3,A123,18,A142,A151,1,A171,1,A192,A202,1
A14,18,A32,A41,700,A62,A73,1,A93,A101,1,A124,29,A141,A152,3,A173,2,A191,A201,2
A13,48,A34,A42,9000,A64,A72,4,A95,A103,2,A121,50,A143,A153,2,A174,1,A192,A202,1
A11,15,A33,A43,150,A61,A71,3,A92,A101,1,A122,22,A142,A151,2,A172,1,A191,A202,2
A12,60,A30,A44,2345,A62,A75,2,A94,A102,4,A123,33,A143,A152,1,A173,2,A192,A201,1
A14,12,A31,A45,600,A65,A72,1,A93,A101,3,A124,38,A141,A153,2,A172,1,A191,A202,2
A13,24,A32,A46,1450,A63,A73,3,A91,A103,1,A121,41,A142,A151,1,A174,2,A192,A202,1
A11,36,A33,A40,4321,A61,A75,4,A95,A101,2,A122,35,A143,A152,3,A172,1,A191,A201,2
