Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,target
A11,12,A32,A40,1274,A61,A72,3,A92,A101,1,A121,37,A143,A152,1,A172,1,A191,A201,2
A14,21,A32,A41,5248,A65,A73,1,A93,A101,3,A123,26,A143,A152,1,A173,1,A191,A201,1
A12,24,A30,A49,2000,A62,A74,2,A94,A103,4,A121,45,A141,A151,2,A174,1,A192,A202,1
A13,36,A31,A42,3100,A63,A73,4,A91,A102,6,A123,56,A143,A153,3,A173,1,A191,A202,2
A11,18,A34,A40,950,A61,A71,5,A95,A101,1,A124,22,A143,A152,1,A172,1,A192,A202,1
A14,12,A33,A43,800,A65,A75,3,A93,A101,2,A122,33,A142,A151,1,A171,1,A191,A202,1
A12,48,A32,A44,1200,A62,A73,6,A94,A103,5,A123,40,A143,A152,2,A174,1,A192,A202,2
A13,15,A30,A42,5000,A63,A72,1,A92,A102,3,A121,29,A141,A153,1,A173,1,A191,A201,2
A11,30,A31,A45,300,A61,A74,2,A91,A101,4,A124,36,A143,A151,2,A172,2,A191,A202,1
A14,22,A34,A41,800,A65,A71,1,A95,A103,1,A122,24,A142,A151,1,A171,1,A192,A201,2
A12,40,A32,A46,6000,A62,A75,3,A93,A101,2,A123,38,A141,A152,1,A174,1,A191,A201,1
A13,27,A33,A42,1500,A63,A73,4,A92,A102,3,A121,47,A143,A151,2,A172,1,A192,A202,2
A11,34,A31,A43,200,A61,A74,6,A91,A103,5,A124,39,A143,A152,1,A173,1,A192,A201,2
A14,19,A34,A44,2500,A65,A72,2,A95,A101,1,A122,35,A142,A151,1,A171,1,A191,A202,1
A12,25,A32,A49,3200,A62,A75,4,A94,A103,6,A123,55,A143,A152,2,A174,1,A192,A202,2
A13,28,A30,A40,1300,A63,A73,5,A91,A102,3,A121,30,A141,A151,1,A173,1,A191,A201,1
A11,14,A33,A41,1000,A61,A71,1,A93,A101,2,A124,26,A143,A152,2,A172,1,A192,A202,2
