Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,target
A12,24,A30,A43,3000,A64,A75,2,A94,A102,4,A123,41,A141,A151,2,A173,3,A192,A202,1
A13,18,A32,A42,1500,A61,A74,4,A93,A101,1,A122,29,A143,A152,1,A174,1,A192,A202,1
A11,36,A33,A45,6000,A62,A72,3,A91,A101,2,A121,33,A143,A153,2,A172,2,A191,A202,2
A14,15,A31,A49,800,A65,A71,4,A92,A103,1,A124,21,A142,A151,1,A171,3,A191,A201,2
A13,27,A32,A40,4500,A63,A73,3,A93,A101,3,A122,28,A141,A152,1,A173,1,A192,A202,1
A12,48,A30,A44,5000,A61,A72,1,A94,A101,2,A121,47,A141,A152,1,A173,2,A191,A202,1
A14,12,A34,A42,2000,A65,A74,2,A95,A102,3,A123,30,A143,A151,1,A174,1,A192,A202,2
A11,30,A32,A46,3500,A62,A73,4,A91,A103,1,A124,34,A143,A153,1,A172,2,A191,A202,1
A13,10,A30,A41,1000,A64,A72,2,A93,A101,2,A121,25,A142,A151,1,A173,1,A192,A201,2
A12,24,A33,A40,7000,A61,A74,3,A94,A101,4,A122,39,A141,A152,1,A173,2,A191,A202,1
A14,20,A34,A45,2500,A65,A71,1,A92,A103,2,A123,27,A142,A151,2,A172,2,A191,A202,2
A11,35,A32,A49,5000,A62,A73,3,A91,A101,1,A121,38,A143,A152,1,A174,1,A192,A202,1
A12,13,A30,A43,1500,A61,A75,2,A93,A101,3,A124,20,A143,A151,1,A173,2,A192,A201,2
A14,28,A33,A42,4000,A65,A72,4,A94,A103,2,A122,29,A141,A152,1,A172,2,A191,A202,1
A13,18,A32,A44,3000,A64,A73,2,A91,A101,1,A121,30,A143,A153,2,A173,1,A191,A202,1
A11,22,A34,A40,6000,A62,A71,1,A95,A102,3,A123,22,A141,A151,1,A174,2,A191,A202,2
A12,40,A30,A41,1000,A61,A75,3,A92,A101,2,A122,35,A143,A152,1,A173,3,A192,A202,1
A14,15,A33,A46,2500,A65,A72,2,A93,A101,4,A124,25,A143,A151,2,A172,1,A191,A201,2
A13,25,A32,A42,3500,A64,A73,1,A94,A103,1,A121,40,A142,A153,1,A173,2,A192,A202,1
A12,29,A31,A45,5000,A61,A71,4,A91,A101,3,A122,32,A143,A152,2,A174,1,A192,A201,2
A11,36,A34,A40,3000,A62,A74,2,A92,A101,1,A123,28,A141,A151,1,A172,3,A191,A202,1
A14,21,A32,A43,7000,A65,A72,3,A95,A103,2,A124,39,A143,A152,1,A173,2,A191,A201,2
