Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,target
A14,6,A30,A42,1597,A62,A72,2,A95,A101,4,A123,28,A142,A153,1,A173,1,A192,A202,1
A12,18,A32,A41,4870,A63,A73,2,A91,A101,3,A123,32,A142,A152,1,A172,1,A192,A202,2
A13,36,A32,A43,1698,A61,A74,1,A91,A101,2,A121,50,A143,A152,2,A174,1,A192,A202,1
A11,7,A34,A44,4536,A65,A72,4,A92,A103,2,A124,27,A143,A151,1,A171,1,A191,A201,2
A13,12,A33,A42,1572,A64,A72,1,A91,A101,3,A121,34,A142,A152,2,A174,1,A192,A202,1
A14,18,A30,A49,2890,A61,A75,1,A95,A101,4,A124,33,A143,A151,1,A173,2,A192,A202,1
A13,24,A32,A43,2662,A61,A73,2,A93,A103,3,A122,40,A143,A153,1,A173,2,A192,A202,2
A12,9,A33,A42,1440,A63,A72,3,A91,A101,2,A124,22,A142,A151,1,A172,1,A192,A202,1
A14,15,A32,A41,3107,A62,A72,2,A94,A101,1,A121,44,A143,A153,1,A174,1,A192,A202,2
A13,30,A31,A49,1974,A62,A73,1,A94,A101,2,A122,29,A143,A151,1,A174,2,A192,A202,1
A14,12,A34,A41,2785,A65,A72,4,A92,A103,3,A123,26,A143,A151,1,A171,1,A191,A202,2
A12,20,A30,A40,4259,A61,A73,2,A91,A101,2,A121,35,A142,A153,1,A173,1,A192,A202,1
A11,9,A32,A42,3502,A62,A72,3,A93,A103,1,A124,30,A143,A151,1,A173,2,A191,A201,2
A13,25,A32,A45,2879,A63,A73,1,A94,A101,3,A121,48,A143,A152,1,A174,2,A192,A202,1
A14,11,A34,A42,1674,A65,A71,4,A92,A101,2,A124,20,A142,A151,1,A172,1,A191,A202,2
A12,14,A32,A41,3924,A64,A72,3,A91,A103,3,A123,36,A143,A153,1,A173,1,A192,A202,1
A13,19,A33,A40,2336,A63,A75,1,A94,A101,4,A122,38,A143,A151,1,A174,1,A192,A202,2
A11,16,A32,A43,4729,A61,A72,2,A93,A101,3,A124,31,A142,A153,1,A173,2,A192,A201,1
A13,8,A32,A42,3187,A62,A73,1,A91,A101,2,A121,24,A143,A152,2,A174,1,A192,A202,1
A14,17,A34,A41,2981,A65,A72,4,A92,A103,3,A124,29,A143,A151,1,A171,1,A191,A202,2
A12,13,A32,A40,2765,A64,A73,2,A94,A101,3,A122,42,A142,A153,1,A173,2,A192,A202,1
A13,27,A31,A45,3262,A63,A74,1,A91,A101,2,A121,46,A143,A152,2,A174,1,A192,A202,2
A14,11,A32,A42,3470,A61,A72,3,A95,A101,4,A124,33,A142,A151,1,A173,1,A191,A202,1
A11,8,A34,A41,3825,A62,A73,2,A93,A103,1,A121,27,A143,A152,1,A172,2,A191,A201,2
A13,21,A32,A43,2394,A62,A72,1,A94,A101,3,A122,39,A143,A153,1,A174,1,A192,A202,1
A14,14,A33,A42,1983,A65,A71,4,A92,A103,2,A124,25,A142,A151,1,A171,1,A191,A202,2
A12,12,A32,A40,4450,A61,A73,3,A91,A101,3,A121,28,A143,A153,1,A173,2,A192,A202,1
A13,26,A32,A41,2612,A64,A72,2,A94,A101,2,A123,47,A143,A151,1,A174,1,A192,A202,2
A11,6,A34,A42,1697,A62,A73,1,A91,A101,3,A124,22,A142,A153,1,A172,1,A191,A202,1
A13,24,A32,A43,4175,A61,A75,2,A94,A103,2,A121,30,A143,A151,1,A174,2,A192,A202,2
A14,18,A32,A40,2510,A65,A72,4,A92,A101,4,A124,20,A142,A153,1,A171,1,A191,A202,1
A12,15,A32,A42,2789,A63,A73,2,A91,A101,3,A122,34,A143,A152,2,A173,1,A192,A202,1
A13,30,A33,A41,3478,A64,A74,1,A94,A101,2,A121,39,A143,A151,1,A174,1,A192,A201,2
A11,9,A34,A42,3653,A61,A72,3,A93,A103,3,A124,21,A142,A151,1,A173,1,A191,A202,1
